N,E,D
0.03777,0.00171,-3
0.04326,-0.02769,-3
0.05967,-0.11583,-3
0.08682,-0.26232,-3
0.12441,-0.46665,-3
0.17205,-0.72801,-3
0.2292,-1.04541,-3
0.29532,-1.41762,-3
0.36969,-1.84323,-3
0.45159,-2.32056,-3
0.54024,-2.84784,-3
0.6348,-3.423,-3
0.73443,-4.04379,-3
0.83823,-4.70784,-3
0.94533,-5.41254,-3
1.0548,-6.15513,-3
1.16574,-6.93279,-3
1.27725,-7.7424,-3
1.38834,-8.58084,-3
1.49814,-9.44478,-3
1.60569,-10.33086,-3
1.71003,-11.2356,-3
1.8102,-12.15543,-3
1.90524,-13.08669,-3
1.99416,-14.02572,-3
2.07603,-14.96883,-3
2.14989,-15.91224,-3
2.21481,-16.85226,-3
2.26998,-17.78508,-3
2.31453,-18.70704,-3
2.34771,-19.61445,-3
2.36895,-20.50365,-3
2.37771,-21.37116,-3
2.37354,-22.21344,-3
2.35623,-23.02719,-3
2.32566,-23.80908,-3
2.28189,-24.55602,-3
2.2251,-25.26504,-3
2.15568,-25.93329,-3
2.07282,-26.57922,-3
1.95324,-27.22908,-3
1.79571,-27.81363,-3
1.60992,-28.3305,-3
1.40511,-28.77831,-3
1.18953,-29.15646,-3
0.97059,-29.46507,-3
0.75444,-29.70477,-3
0.54618,-29.87661,-3
0.34956,-29.98191,-3
0.16707,-30.02238,-3
0,-30,-3
-0.14742,-29.9184,-3
-0.27201,-29.78154,-3
-0.3756,-29.59203,-3
-0.46086,-29.35272,-3
-0.53106,-29.06661,-3
-0.59004,-28.73685,-3
-0.64206,-28.3665,-3
-0.69174,-27.95871,-3
-0.74385,-27.51621,-3
-0.80331,-27.04143,-3
-0.87513,-26.53617,-3
-0.95607,-25.93578,-3
-1.02732,-25.27137,-3
-1.08771,-24.5667,-3
-1.13715,-23.82447,-3
-1.1757,-23.04762,-3
-1.20354,-22.23915,-3
-1.22097,-21.40221,-3
-1.22844,-20.54007,-3
-1.22652,-19.65606,-3
-1.21581,-18.75366,-3
-1.197,-17.83635,-3
-1.17087,-16.90776,-3
-1.1382,-15.97146,-3
-1.09977,-15.03117,-3
-1.05642,-14.09055,-3
-1.00887,-13.15332,-3
-0.9579,-12.22314,-3
-0.9042,-11.3037,-3
-0.8484,-10.39863,-3
-0.79119,-9.51147,-3
-0.73305,-8.64579,-3
-0.67458,-7.80498,-3
-0.61626,-6.99243,-3
-0.55851,-6.21129,-3
-0.50184,-5.46474,-3
-0.44664,-4.75575,-3
-0.3933,-4.08714,-3
-0.34227,-3.46161,-3
-0.29394,-2.88165,-3
-0.2487,-2.3496,-3
-0.20694,-1.86759,-3
-0.16905,-1.43757,-3
-0.13536,-1.06131,-3
-0.10623,-0.74031,-3
-0.08196,-0.47586,-3
-0.06279,-0.26907,-3
-0.04893,-0.12075,-3
-0.04056,-0.0315,-3
-0.03777,-0.00171,-3
